run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,bin_lo,bin_hi,n,mean_p_hat,empirical_rate,gap
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.3333,0.4,16,0.3393,0.0,-0.3393
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.8667,0.9333,18,0.8843,0.0,-0.8843
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.9333,1.0,340023,1.0,0.9999,-0.0001
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.0,0.0667,60314,0.0591,0.0832,0.024
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.0667,0.1333,131273,0.114,0.1511,0.0371
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.1333,0.2,154240,0.1871,0.1985,0.0115
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.2,0.2667,25629,0.209,0.2676,0.0586
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.2667,0.3333,79364,0.315,0.2713,-0.0437
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.3333,0.4,7,0.3744,0.0,-0.3744
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.4,0.4667,90860,0.4404,0.3517,-0.0887
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5333,0.6,33275,0.5351,0.4069,-0.1283
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.6,0.6667,24,0.6135,0.0,-0.6135
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.8,0.8667,3676,0.83,0.4842,-0.3458
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.8667,0.9333,8,0.9136,1.0,0.0864
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.9333,1.0,328551,1.0,0.9931,-0.0069
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.0,0.0667,14178,0.0011,0.1986,0.1975
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.0667,0.1333,35897,0.0822,0.0771,-0.0052
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.1333,0.2,254059,0.1777,0.1694,-0.0084
20260905-213233-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:35.308763+08:00,toolagent,qwen-awq,nvme,599095,16,1725460,304493,907221,86894,63,0.5042,20260905-143055-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.2,0.2667,59974,0.225,0.1971,-0.0279
